name,review
엘36,고기와 김치는 언제나 진리
아자아자 홧팅4,굿
Million93,굿
jun****,조아요
jun****,조아요
50적립,맛있어요 볶음밥 꼭드세여
yen****,
쥬623,언제 먹어도 맛있고 알바생들 진짜 밝고 친절해요! 자부하고 신촌 맛집 1위라고 할 수 있슴당! 재방문 의사 10000000퍼센트!
뽀얀삼계탕,실패없어요!
hye****,맛있어용 
찬스92,돼지김치구이 굿뜨!맛잇어서 바빳던 젖가락질ㅎ특미복음밥 맛잇게 먹고 또 생각남ㅜㅜ
lewoos913,굿
kjh66210,
Aussie Coffee Snob,볶음밥 맛있어요
시키2,여기가 돼지구이 맛집이네요 
노란국화향기,주문할때 벨이있어야 편리하는데 벨이 없어서 아쉽네여 청각장애인이라서 주문할때 소린내지못해서 힘들어요
whgmltjs12,너무 맛있어요....
bmyself,식사보다는 술안주로 드세요 꼭…
cho****,굿
7229,맛있어요오!
감자먹어라6,맛잇어여
무비라이커,맛있습니다
ssw****,좋아요
짱민85,맛있어요
토로356,
you****,.
Rlaruddms00,주기적으로 들리는 곳이예요! 정말 맛있고 직원들이 친절해요 신촌 맛집 인정 !!!👍🏻
Goyou,
김초랑,조아요옹오오오오옹
lilly2382,굿
eld****,맛있어요 은근히 건강한 맛입니다
sou****,
lov****,맛있었어요.술안주or식사로 딱 좋았어요.적당히 자극적이면서 맛있습니다.아쉬운점은 볶음밥이 많이 짰어요. 테이블이 너무 비좁고.비빔국수는 좀더 새콤하면 더 맛있을듯..메인메뉴가 맛있기때문에 또 가고싶은 곳입니다
god****,맛 없을 수 없는 조합!! 볶음밥 까지 뚝딱! 맛있게 잘 먹었습니다~!
요니4052,존맛
PaulKim,맛있음. 이 상권에서 단일메뉴로 몇 년째 살아남는 데에는 다 이유가 있음.
쥬623,
콩모아,맛있어요 신촌점이 젤 맛남
iox****,넘맛있고 짱짱!
유선재83,그냥 진짜 존맛탱.. 왜 이제 갔는지 모를정도로 좋았슴 메뉴는 하나인데 그 메뉴가 즤리게 맛있음
홍칭망코,좋아요
whateveriwant43,염염긋
소정423,굳
장형사,굿
cho****,좋아요
bja****,굿
두질,
응v,아는 맛인데 자꾸 생각나요 근데 사람이 엄청 많아요 바쁜 와중에도 응대 잘 해주심요
저녁달빛321,맛있어요
bad****,맛있어요
천미28,
마늘동생,
뚱이맘65,굿
Rlaruddms00,직원들이 친절하고. 역시 맛있었어요 죽을 때 까지 주기적으로 찾아가서 먹을거예요 ㅎㅎ
김태호2056,맛있어요 자주먹고싶어요
수호천사9235,줄 서서 먹은 보람이 있네요😄
qnl****,완전 맛있어요 ㅠㅠ 최근3개월동안 먹었던 가게 중에 최고!!
hsk****,좋아요
김태호2056,맛도 좋고 양도많아서 자주올거같아요~
hsk****,좋아요
미소짱98,맛있어요.. 양도 많고 완전 힐링되는 음식이었어요
Yhy0913,
믱 믱,
bbs****,
밥바라밥밥밥,굿
제로꿈나무,국
웅어멈55,
