name,review
챌이챌이,오랜만에 쭈삼먹으려고 쭈꾸미블루스 방문했어요  쭈꾸미 양이 엄청 많고 소스가 너무 맛있더라구구요 신촌 쭈삼 맛집이에용!
y32****,좋아요
노깅72,
바나나 피쉬,
woo****,맛있긴한데 끝맛이 매워요
유리대,
Stella5654,쭈꾸미 쫄깃쫄깃 너무 맛있어요! 양옆에 계란이랑 홍합 있는 것두 짱 맛있구. 무엇보다 볶음밥이 미침 ㅠㅠㅠㅠㅠ 치즈 볶음밥 제발 꼭 드세요! 강추👍❤️
mj4****,고딩때 가고 7~8년만에 가요ㅎㅎ쭈삼 먹었는데 오랜만에 갔는데 역시 맛있어요 이제 자주자주 방문할게요 볶음밥 최고👍👍
삐약이48,맛있어요
나무5021,홍합탕에 계란찜까지 나오는 쭈꾸미 가성비 분위기 맛집 양도 많고 사장님 친절하심 번창하세요^^
rha****,
만비짱,인테리어도 멋지고 쭈삼이랑 볶음밥도 맛있게 잘 먹었어요. 신촌 맛집 인정입니다. 인테리어가 특이해서 신촌 데이트 코스로도 좋아요.
디혜1,
쿼카에요,쭈삼 존맛인데.. 사람많은데 응대 없고 주문 태불릿도 미라 세팅안해서 기다려야하고 주문하눈데만 30분걸렸음 ㅜ 사람많은데 직원 하나라서 이게 너무 별로..정신하나도 없음 ㅜㅜ
라임83,굿
메롱시티즌,원래 가려다가 간건 아니고 우연히 갔는데 너어무 괜찮았어요 쭈꾸미 실하고 가게 다 깔끔하고 다들 친절하세여 볶음밥은 꼭드세용! 사이드에 나오는 계란찜도 맛있구 넘 기분 좋게 식사했어용 :) 재방문 의사 있습니당
Juliak,
윰2022,
나블리블리짱,
SooyeoN,
맛땡,이런 조합 처음 맛보네요 홍합탕에 쭈삼에 계란찜까지 ㅎㅎ 식당 분위기도 넘 재밌고 좋아요 레트로 복고감성 쩔어요 ㅋㅋㅋ 이모님들도 짱 친절하심! 신라면보다 살짝 매운데 맛있게 매운맛이라 마요네즈랑 먹으면 짱 맛있어요!! 쭈꾸미는 또 욀케 부드러운지 ㅎㅎ 볶음밥 비주얼 좀 보세욧!! 맛도 제일 좋았어요!! 볶음밥중 최고네요 
허락,
맛방가,매콤한 쭈꾸미도 좋지만 마지막 하이라이트는 아무래도 볶음밥 아닐까 싶어요 치즈볶음밥 취저 ㅠㅠㅠㅠ 한개로는 부족하니까 두개 주문 필수! 시원하고 맑은 홍합탕도 좋고 찬들도 셀프바에서 이용할 수 있어서 좋아요 향긋한 깻잎에 매콤한 쭈꾸미 더해서 먹으면 맥주가 생각나는 맛🥹
왜꼬추가까매,음식이 맛있고 셀프바 있는거 너무 편했어요 ~ 알바분 친절하세요 :)
amigo85sj,불친철해요
kim****,칼칼한게 땡겨서 영화 보고 돌아가길에 ㅎㅎ 쭈꾸미 먹으러 왔어요! 생각대로 칼칼하고 아주 맛있었어요~ 인테리어도 레트로 감성인데 ㅋㅌ 박물관 같고 재밌네요! 직원들 모두 친절 하셔서 더 잘 먹고 갑니다! 다음에 신촌 방문하면 또 올게요~ :) 번창하세요! 
hli****,맛있어요 
rla****,맛있어요.  주말 저녁에 방문했는데  약간 웨이팅 있는편입니다. 10분이상 - 30분  주차는 불편한 편 입니당
희희당ㅎ,쭈꾸미 통통하구 양념도 맛있고 무려 계란찜이랑 홍합탕이 서비스… ( ᵒ̴̶̷̥́ ·̫ ᵒ̴̶̷̣̥̀ )  ♥ 너무 맛있어요!!! 또 먹으러 올거예요 ♥ ♥ ˃̵͈̑ᴗ˂̵͈̑ 
웅디88,오랜만에 왔는데 역시 짱맛있어요💛 콩나물 듬뿍 추가는 필수 !!
드루와두루치기,너무너무 친절하시고 쭈꾸미가 미쳤어요😭😭 너무 맛있습니다 강추…♥️👍🕺
서희83,신촌단골맛집  너무맛있어요
에스더948,
녜렁,가성비가 너무 떨어져요ㅜ 양 많지 않은 둘이 갔는데 쭈삼2인분 공기밥2개 볶음밥1개 시켜도 배부르단 느낌이 안 들었어요🥲 여러모로 아쉬웠습니다😢
한국생활아직도적응중,
패션언니,중국인 직원 태도도 나쁘고 말도 못알아듣겠어요ㅠㅠ 휴.. 느릿느릿.. 점심시간 빠듯한데말이죠!
Lovelyaa,존맛탱.. 자주가는 맛집
maeun9826,양념 훔쳐가고싶을만큼 너무 맛있었어요...ㅠㅠ 단골예약입니당 진짜 직원분들도 너무 친절하셔서 편하게. 맛있게 밥 먹구 갑니당~!
유리대,쭈꾸미가  메콤하고  아주  맛있게  먹었습니다.
zzz14,
kkh51213,굿
Ssso0,싼게비지떡
Anna725,
cluckiof81,쭈꾸미 화끈하게 맛있게 먹고왔습니다! 볶음밥까지 대박임 ^^
oyk****,가게안 분위기가 되게 좋아요 ㅋㅋ 쭈꾸미 엄청맛있음
쿼카에요,맛있어요
g09e,
보미밈,
IFILAFS,가게 분위기도 좋고 쭈꾸미 진짜 맛있어요!!ㅎㅎ 사장님도 너무 친절하셔서 기분좋게 먹구갑니다!
이한솔47,
베리카짱,아주 맛있어요 저는 웨이팅 없이 먹었어요 ㅎㅎ
sh1****,맛있어요 그리고 친절하세요~!ㅎㅎ
이수현275,직원분들이 너무 친절하고 음식이 너무너무 맛있고 양이 많아요 강추강추 &gt;_&lt;
shmrjp,스트레스받을때마다 항상 생각나는 집이에요! 맛있게 매운맛!!!! 동료들과 자주가는 아지트같은 곳이에요..! 양도많고 친절합니당!!
레디87,
프림로지,음식은 맛있고 치즈볶음밥이 특히 맛있었어요. 신촌에 쭈꾸미 맛집이 많이 없어서 그런지 많이들 오시더라구요! 다만 키오스크로 주문해도 일하시는 분이 적어서 그런지 술 하나 시켜도 기다려야했습니다ㅠㅠ
이웃쟁이,아주 괜찮아요 ㅎㅎㅎ 쭈꾸미 ㅎㅎ
gw0****,학교앞이라 자주오는데 사장님도 친절하시구 넘 맛있어요 ~!~! 한달에 한번은 꼭 오는 곳 !!
봉숭아네일,
ysa****,굿
네츄럴코어1588,인테리어도 독특하고 쭈삼이 맛있어요
호록61,날치알이 없어요..😥 홍합탕이 밍밍해요 쭈삼은 먹을만해요 콘치즈가 맛있네요
김제로0,넘 맛잇어요👍
o3o61,
mel****,굿
깜둥이71,맛있게도 얌얌
mel****,굿
고샘89,배부르게 잘먹고 갑니다~^^
요리요리 미뇨링,볶음밥 비주얼이 귀여워요 쭈꾸미 맛은 괜찮은데 양념이 짜고 맵네요
육식하마,맛있는 매운맛 60년대 인테리어 자세한 내용은 블로그에 포스팅했어요~
gzt0gbf,굿
tae****,👍👍👍👍👍👍👍👍👍👍
poiut5,맛있는데 양이 적네요
ktj****,맛나요
요미요미00,맵지리라 엄청 매웠어요. 콩나물이랑 깻잎 엄청 먹었네요~ 맛있는 매운맛!!!! 굿굿!!!!!
페이룽,너무 맛있어요
Autumn1993,양은 적은데 맛있어요!!
곰곰서,맛있
삐식29,간이 세요.  셀프바 있어서 리필하기 좋아요. 
쿠로밈,쭈꿈쓰 먹는 이유 = 볶음밥 🍚 아니겠어요? 쭈꾸미 블루스는 유난히 치즈가 고소해요!!!!! 볶음밥 진짜 맛있어요 ㅠㅠㅠㅠㅠㅠ 엉엉 저는 쌈무 없는 거 빼고 넘 만족했어요 소주랑 맥주도 4천원이었음 🥹👍🏻🤍
뇨자78,맛잇어용
Leeboram,포차느낌이라 친구들이랑 술마시면서 수다떨기 좋네요
진진6957,
02****,
A514utumn,양념은 정말 맛있는데❣️ 가성비나(저녁메뉴 기준 메인메뉴의 양 적음. 사이드 종류 부족. 사이드 추가하려면 추가금액 지불 ) 가게위생 측면에서 조금 감점이네요ㅠㅠ
계란뿡,양이 적음
hakccj,감사합니다 
아라레짱40,맛있어요~^^
세자매4099,맛도 있고 옛날생각나게하는곳이예요
수현애미,맛있어요 점심특선은 양이 좀 작긴했지만 추가해서 먹었어요
시나브로먹보스,맛있어요~
이 디,음식맛있음 양은 예전보다 적어졌대요 ㅎㅎ
yan****,매운데 맛있어요
hap****,굿
수박씨55,
mi12291,
jbong6264,좋아요 
커피한잔2470,
기니neW,맛있고 쭈꾸미가 실해요~^^
Paradoxxx,
하취,양이원래이렇게 적은걸까요…
joysaya,아주아주 맛있었고. 분위기도 너무 좋아요 ㅠㅠㅠㅠ
웨일즈순두부,쏘쏘
lloOOoll88,좋아요
반전매력,굿
먹지,
다람쥐8230,좋아요
세이렘,쭈꾸미는 여기!
nmr,넘넘 맛있어용
이온음료포카리,
on_****,분위기 좋고 맛도 좋고~
sgl****,굿
lno****,날씨도 추운데 쭈꾸미먹으면서 열도 내고 술마셔서 몸을 따듯하게 해야해요~!^^
올리브1667,맛있게 매워요~ 특히 계란찜 맛나요
mellow,
mellow,
띵동듀,쭈삼에 볶음밥까지 야무지게 먹었습니당
김다라미,
용용이8795,블로그에 맛있다고 다들 그러길래 기대하고 남자친구랑 방문했는데 위생이 너무 별로네요.. 화장실을 갔더니 화장지도없고 냄새도 너무 나고요. 맛집이라고 해서 갔더니만 기분만 상하고 왔네요.
bor****,우리 동네 맛집!!!! 주말마다 친구들이랑 가요 ㅋㅋ
cog****,쭈꾸미 먹고 싶어서 달려갔다 왔지요 ~~ 오늘도 역시나 맛있었어요 !
ede****,너무 맛있었음... 맥주랑 같이 먹으니까 꿀조합ㅎㅎ
dou****,쭈구미 화끈한게 진짜 맛있어요 볶음밥까지 꼭 가야함!!
pro****,진짜 맛있음 ㅋㅋ 양념맛 미쳐버림 ㅠㅠ
seo****,삼겹살 쭈꾸미 너무 영롱하지않나여ㅜㅜ 진짜 리얼 흡입하고옴!!!
cha****,생각보다 실망
mellow,
예소리질러,매장 분위기가 너무 좋아요 저녁으로 와서 먹기 좋습니당 서강대 근처 맛집은 무조건 쭈블이죠!-!:):)
leeky7072,계란찜과 홍합국등 한번에 같이 먹는 쭈꾸미 괜찮습니다 ~^^ 점심메뉴로 먹으니 저렴하게 먹을수 있어서 좋았어요.
욤이30,굿
outlaws79,신촌의 숨은 핫플맛집
he****,
윤071,
33dowoo,맛있어요~
yeo****,맛있었어요.그런데 고추장에서 머리카락나옴..위생은 조금 부족..오래된곳이기도하고..가격이 좀사악해요
swe****,좋아요
rui****,직원분이 바빠도 주문 잘 받아줘서 좋아여 쭈꾸미 단게 조절할 수 있어서 꿀입니다 핵매운맛 너무 맛있어 ㅋㅋㅋㅋ
ips****,화끈한맛 좋아요!! 중독되었습니다
h0n****,다른집쭈꾸미보다 양념맛이 좋더라구요 ㅎ 볶음밥필수!
얍얍123,쭈꾸미도 맛있고. 홍합에 계란에 알마요까지♡_♡ 너무 맛있게 잘 먹고왔어요~ 다음에 또 방문예약 완료!!
reh****,쭈삼에 볶음밥까지 완벽한 코스였습니다. 양념 진짜 맛있네요
pzu****,이따금씩 계속 생각나요 쭈꾸미맛 !!
yeo****,제가 제일 좋아하는 쭈꾸미~~~ 맵게해서 치즈랑 같이 먹으면 진짜 맛있어요!! 볶음밥까지 꼭 볶아드시길
wld****,매운데 자꾸자꾸 들어가서 ㅠㅠㅠㅠ 다른 쭈꾸미 집보다 푸짐하고 가성비 있어서 좋았습니다
